"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","location__type","location__coordinates__001","location__coordinates__002","formattedAddress__004","formattedAddress__005"
"Britannia English Academy","53.47921849773795","-2.239830731903953","Manchester","Greater Manchester","United Kingdom","Point","53.47921849773795","-2.239830731903953","",""
"EC Manchester","53.478121643039835","-2.2364046324886058","17-21 Chorlton St.","Manchester","Greater Manchester","Point","53.478121643039835","-2.2364046324886058","M1 3HY","United Kingdom"
"Manchester Maths & English Tuition","53.4804229","-2.2383618","13th floor, City Tower, Piccadilly Plaza","Manchester","Greater Manchester","Point","53.4804229","-2.2383618","M1 4BT","United Kingdom"
"Kaplan International English - Manchester","53.48046011","-2.23470009","Portland Street","Manchester","Greater Manchester","Point","53.48046011","-2.23470009","M1 3BE","United Kingdom"
"Chetham's School Of Music","53.486594238267095","-2.2433611191547804","Long Millgate","Manchester","M3 1SB","Point","53.486594238267095","-2.2433611191547804","United Kingdom",""
"Manchester Midi School","53.48351392995939","-2.259308288185165","Salford","M3","United Kingdom","Point","53.48351392995939","-2.259308288185165","",""
"A2Z School of English","53.47910438340081","-2.241444601684878","2nd Floor, 75 Mosley Street","Lancashire","M2 3HR","Point","53.47910438340081","-2.241444601684878","United Kingdom",""
"New College Group (NCG)","53.48001444979183","-2.2358251600822094","85 Piccadilly","Manchester","Greater Manchester","Point","53.48001444979183","-2.2358251600822094","M1 2DA","United Kingdom"
"INTO Manchester","53.475368895964245","-2.240188846018999","58/60 Whitworth Street (Oxford Road)","Manchester","Greater Manchester","Point","53.475368895964245","-2.240188846018999","M1 6BB","United Kingdom"
"Alliance Manchester Business School","53.467789","-2.235507","142 Oxford Road","Manchester","Greater Manchester","Point","53.467789","-2.235507","M13 9RN","United Kingdom"
"Manchester surgical skills workshop","53.4714067","-2.2376540000000205","99 Oxford Rd","Manchester","Greater Manchester","Point","53.4714067","-2.2376540000000205","M13 9PG","United Kingdom"
"Williamson Building","53.46643303211906","-2.2333282365125964","University of Manchester (Oxford road)","Manchester, Greater Manchester","M13 9PL","Point","53.46643303211906","-2.2333282365125964","United Kingdom",""
"Kilburn Building, School of Computer Science and IT Services","53.467524","-2.233915","Oxford Road (University of Manchester)","Manchester","Greater Manchester","Point","53.467524","-2.233915","M13 9PL","United Kingdom"
"Communicate School of English","53.4819994547731","-2.2394086453315163","Murray House (85 Piccadilly)","M1 2DA","United Kingdom","Point","53.4819994547731","-2.2394086453315163","",""
"Manchester Central School of English","53.481680311665265","-2.2384070065336936","2nd Floor, Royal Buildings, 2 Mosley St","Manchester","Greater Manchester","Point","53.481680311665265","-2.2384070065336936","M2 3AN","United Kingdom"
"Samuel Alexander Building","53.46417857288448","-2.2331098544387067","University of Manchester, Oxford Road (Burlington Street)","Manchester, Greater Manchester","United Kingdom","Point","53.46417857288448","-2.2331098544387067","",""
"Cactus Manchester Language School","53.481099659057186","-2.234494686126709","Near St Margaret's Chambers (5 Newton Street)","Manchester","M1 1HL","Point","53.481099659057186","-2.234494686126709","United Kingdom",""
"New Islington Free School","53.48597097985235","-2.223090850016197","United Kingdom","","","Point","53.48597097985235","-2.223090850016197","",""
"Maxell building room 516","53.48469055000001","-2.2711873054504395","Salford Busines School, Executive Education (43 The Crescent)","Salford","M5 4WT","Point","53.48469055000001","-2.2711873054504395","United Kingdom",""
"Maxwell Building","53.48452051771575","-2.271049727482621","University of Salford (43 The Crescent)","Manchester","M5 3WT","Point","53.48452051771575","-2.271049727482621","United Kingdom",""
"Google Digital Garage","53.4811","-2.2452044","39 king st","Manchester","Greater Manchester","Point","53.4811","-2.2452044","M2 4ND","United Kingdom"
"BPP Professional Education","53.47814516026781","-2.2369597097950202","St. James's Bldg 79 Oxford St","Manchester","Greater Manchester","Point","53.47814516026781","-2.2369597097950202","M1 6FQ","United Kingdom"
"Primal Voice","53.4867748","-2.2509863000000223","Queen Street","Salford","M3 7DQ","Point","53.4867748","-2.2509863000000223","United Kingdom",""
