"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","location__type","location__coordinates__001","location__coordinates__002"
"Oscars English School","53.34421435925228","-6.263200257387125","33-34 Dame St","Dublin","Dublin City","Ireland","Point","53.34421435925228","-6.263200257387125"
"Atlas Language School","53.33006106140623","-6.264892143170637","S Richmond St","Dublin","Dublin City","Ireland","Point","53.33006106140623","-6.264892143170637"
"ULearn English School Dublin","53.33660541483585","-6.262977340225007","89 Harcourt  Street","Dublin","Dublin City","Ireland","Point","53.33660541483585","-6.262977340225007"
"Delfin English School","53.35349104434612","-6.262041520977369","2 Parnell Square East","Dublin","Dublin City","Ireland","Point","53.35349104434612","-6.262041520977369"
"Horner School of English","53.33659681559401","-6.24915733973135","80 Fitzwilliam St","Dublin","Dublin City","Ireland","Point","53.33659681559401","-6.24915733973135"
"EF International Language Centres","53.334935066715836","-6.252814187074298","29-30 Fitzwilliam Sq S","Dublin","Dublin City","Ireland","Point","53.334935066715836","-6.252814187074298"
"Berlitz","53.3416903415523","-6.250493795543195","Ireland","","","","Point","53.3416903415523","-6.250493795543195"
"Star of the Sea B.N.S.","53.33622783907984","-6.218359969977954","Leahy's Tce, Sandymount","Dublin","Dublin City","Ireland","Point","53.33622783907984","-6.218359969977954"
"Kaplan International Colleges","53.345182187269835","-6.268933925436109","The Presbytery Building, 7 Exchange St Lower","Dublin","Dublin City","Ireland","Point","53.345182187269835","-6.268933925436109"
"ISI - English School","53.347582992908656","-6.269233708200506","4 Meetinghouse Ln, Mary's Abbey","Dublin","Dublin City","Ireland","Point","53.347582992908656","-6.269233708200506"
"Alpha College of English","53.35503060118229","-6.261654857199284","4 N Great George's St","Dublin","Dublin City","Ireland","Point","53.35503060118229","-6.261654857199284"
"Alliance Française","53.34212898219179","-6.254394355610989","1, Kildare Street (Nassau Street)","Dublin","Dublin City","Ireland","Point","53.34212898219179","-6.254394355610989"
"The Linguaviva Centre","53.333025743249465","-6.253924369812012","45 Lower Leeson Street","Dublin","Dublin City","Ireland","Point","53.333025743249465","-6.253924369812012"
"Loreto Junior School","53.336945","-6.256788935794907","St Stephens Green","Dublin","Dublin City","Ireland","Point","53.336945","-6.256788935794907"
"Liffey College","53.34170347046905","-6.275641772467993","1-4 Swift's Alley","Dublin","Dublin City","Ireland","Point","53.34170347046905","-6.275641772467993"
"ibat College","53.34565196380367","-6.265669702062497","Dublin","Dublin City","Ireland","","Point","53.34565196380367","-6.265669702062497"
"International House","53.352818040335606","-6.250404266737426","3 Harbourmaster Pl.","Dublin","Dublin City","Ireland","Point","53.352818040335606","-6.250404266737426"
"OHC","53.35056089630498","-6.269544724187393","Zhivago Building, 73 Capel St","Dublin","Dublin City","Ireland","Point","53.35056089630498","-6.269544724187393"
"Paul Lanigan - Sandler Training","53.35804360921297","-6.228389739990234","Clontarf","Dublin","Dublin City","Ireland","Point","53.35804360921297","-6.228389739990234"
"CES","53.34366489579382","-6.263823977748151","15-16 Dame Court","Dublin","Dublin City","Ireland","Point","53.34366489579382","-6.263823977748151"
"St Mary's College","53.32739911129248","-6.267081699050448","73-79 Lwr Rathmines Rd","Dublin","Dublin City","Ireland","Point","53.32739911129248","-6.267081699050448"
"Trinity Biomedical Sciences Institute","53.34373629708807","-6.247618802729551","Pearse St","Dublin","Dublin City","Ireland","Point","53.34373629708807","-6.247618802729551"
"International Education Academy","53.35221303889025","-6.267257283113832","41 Dominick St Lwr","Dublin","Dublin City","Ireland","Point","53.35221303889025","-6.267257283113832"
"American College Dublin","53.34127652306182","-6.250260517220014","2 Merrion Sq N","Dublin","Dublin City","Ireland","Point","53.34127652306182","-6.250260517220014"
"Centre of English Studies","53.343663628844574","-6.263813606609632","31 Dame St","Dublin","Dublin City","Ireland","Point","53.343663628844574","-6.263813606609632"
