"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","formattedAddress__005","location__type","location__coordinates__001","location__coordinates__002"
"Starbucks","53.477957","-2.245602","10 -12 Mount Street, Ground Floor  Television House (10-12 Mount St)","Manchester","Greater Manchester","M2 5PB","United Kingdom","Point","53.477957","-2.245602"
"Starbucks","53.4737","-2.240029","1-5 Oxford Road","Manchester","M1 6EY","United Kingdom","","Point","53.4737","-2.240029"
"Starbucks","53.47827","-2.250158","Quay Street, Overseas House (Quay St.)","Manchester","Greater Manchester","M3 3HN","United Kingdom","Point","53.47827","-2.250158"
"Starbucks","53.482787","-2.245523","8-10 Exchange St (St. Annes Sq)","Manchester","Greater Manchester","M2 7HA","United Kingdom","Point","53.482787","-2.245523"
"Starbucks","53.481841","-2.238139","PICCADILLY MARKET ST, 1-3 PICCADILLY GARDENS (Tib St)","Manchester","M1 1LZ","United Kingdom","","Point","53.481841","-2.238139"
"Starbucks","53.483891","-2.241629","Arndale Centre, Unit R2 (Exchange Court)","Manchester","M4 3AQ","United Kingdom","","Point","53.483891","-2.241629"
"Starbucks","53.479729","-2.24825","129 Deansgate, Unit 2","Manchester","M3 3WR","United Kingdom","","Point","53.479729","-2.24825"
"Starbucks","53.485123","-2.242287","75 Hanging Ditch/Fennel Street, Pleer House (Fennel St)","Manchester","Greater Manchester","M4 3ES","United Kingdom","Point","53.485123","-2.242287"
"Starbucks","53.480403","-2.238051","City Tower, Unit E2A (Parker St)","Manchester","Greater Manchester","M1 4BD","United Kingdom","Point","53.480403","-2.238051"
"Starbucks","53.473669","-2.245633","Unit 7B, First Street (Unit 7B)","Manchester","M15 4FN","United Kingdom","","Point","53.473669","-2.245633"
"Starbucks","53.479403","-2.233352","Piccadilly (1-3)","Manchester","Greater Manchester","M1 3AQ","United Kingdom","Point","53.479403","-2.233352"
"Starbucks","53.479663099558735","-2.2333306074142456","3 Piccadilly Place","Manchester","M1 3BN","United Kingdom","","Point","53.479663099558735","-2.2333306074142456"
"Starbucks","53.474843","-2.235079","University of Manchester, Sackville St., 76","Manchester","M1 3NL","United Kingdom","","Point","53.474843","-2.235079"
"Starbucks","53.487631","-2.242806","Manchester Victoria Station (Victoria Station Approach)","Manchester","M3 1WY","United Kingdom","","Point","53.487631","-2.242806"
