"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","location__type","location__coordinates__001","location__coordinates__002"
"Google Dockmill","53.33989334728329","-6.237342953681946","4 Barrow St (at Dockmill)","Dublin","Dublin City","Ireland","Point","53.33989334728329","-6.237342953681946"
"Airbnb Dublin","53.34143774659449","-6.2310084439203415","The Watermarque Building, Bridge St","Dublin","Dublin City","Ireland","Point","53.34143774659449","-6.2310084439203415"
"Zalando Tech Hub Dublin","53.34124869730543","-6.23946168195496","3 Grand Canal Quay","Dublin","Dublin City","Ireland","Point","53.34124869730543","-6.23946168195496"
"Marin Software","53.337864212177145","-6.240726695867945","Mount St Lower","Dublin","Dublin City","Ireland","Point","53.337864212177145","-6.240726695867945"
"VenueOne","53.341123249151835","-6.241607666015625","Trinity Technology and Enterprise Campus","Dublin","Ireland","","Point","53.341123249151835","-6.241607666015625"
"Airbnb Dublin","53.34410279542076","-6.233043119524635","8 Hanover Quay","Dublin","Dublin City","Ireland","Point","53.34410279542076","-6.233043119524635"
"Google Ireland","53.339834391738776","-6.237133696332402","Barrow St","Dublin","Dublin City","Ireland","Point","53.339834391738776","-6.237133696332402"
"Tripadvisor","53.345297273177295","-6.235870364733072","Ireland","","","","Point","53.345297273177295","-6.235870364733072"
"Facebook Research Lab","53.344515757462865","-6.239744964718116","Ireland","","","","Point","53.344515757462865","-6.239744964718116"
"Dublin Web Summit HQ","53.33611919240353","-6.244674651582154","9 Herbert St","Dublin 2","Ireland","","Point","53.33611919240353","-6.244674651582154"
"MongoDB, Inc","53.33213197652096","-6.230106353759766","3rd Floor, 3 Shelbourne Buildings, Ballsbridge, Dublin 4","Dublin","Dublin City","Ireland","Point","53.33213197652096","-6.230106353759766"
"Gilt","53.331867447654474","-6.230795860182626","Ireland","","","","Point","53.331867447654474","-6.230795860182626"
"Nordeus","53.34536519320416","-6.242439497569462","4fl ESRI, Sir John Rogerson Quay","Dublin","Dublin City","Ireland","Point","53.34536519320416","-6.242439497569462"
"PopdeemHQ","53.33292323332096","-6.243753433227539","3rd Floor, St Martins House, Waterloo Rd","Dublin","Dublin City","Ireland","Point","53.33292323332096","-6.243753433227539"
"Twitter EMEA HQ","53.34186629767482","-6.248227357864379","26 Fenian St","Dublin","Dublin City","Ireland","Point","53.34186629767482","-6.248227357864379"
"HubSpot Dublin","53.347719116809685","-6.241439142821454","Guild Street (1 Dockland Central)","Dublin","Ireland","","Point","53.347719116809685","-6.241439142821454"
"Bonkers.ie HQ","53.336303","-6.24967","9 Upper Fitzwilliam Street (Lower Baggot Street)","Dublin 2","Ireland","","Point","53.336303","-6.24967"
"AIG (IFSC)","53.347917","-6.241354","Ireland","","","","Point","53.347917","-6.241354"
"AdRoll","53.33235389212359","-6.245637145031675","Burlington Plaza (Burlington Road Level 6)","Dublin","Dublin City","Ireland","Point","53.33235389212359","-6.245637145031675"
"Groupon International (GRINT)","53.332503636428704","-6.24718537752928","Connaught House, Number 1 Burlington Rd","Dublin","Dublin City","Ireland","Point","53.332503636428704","-6.24718537752928"
"Rentview","53.34983403858358","-6.23248815536499","The Liffey Trust Centre, North Wall (Castleforbes Road)","Dublin","Dublin City","Ireland","Point","53.34983403858358","-6.23248815536499"
"Autodesk Ireland","53.345732","-6.246221","Dublin","Ireland","","","Point","53.345732","-6.246221"
"Laser Huts","53.34378791484709","-6.252379417419434","Trinity College SNIAM","Dublin","Dublin City","Ireland","Point","53.34378791484709","-6.252379417419434"
"Blueface","53.348559556279795","-6.246913075447082","10/11 Exchange Place (IFSC)","Dublin","Dublin City","Ireland","Point","53.348559556279795","-6.246913075447082"
"Axonista Central","53.34208541530647","-6.253985271975772","15-17 South Leinster St.","Dublin 2","Ireland","","Point","53.34208541530647","-6.253985271975772"
"FuriousTribeHQ","53.338069","-6.254884","Ireland","","","","Point","53.338069","-6.254884"
"Pivotal Dublin","53.349210089761264","-6.247680844827831","1 Custom House Quay","Dublin","Dublin City","Ireland","Point","53.349210089761264","-6.247680844827831"
"Intercom","53.339527313774596","-6.257363625734478","Stephen Court, 18-21 St Stephen's Green","Dublin","Dublin City","Ireland","Point","53.339527313774596","-6.257363625734478"
"New Relic","53.34278766904076","-6.257803829055093","Ireland","","","","Point","53.34278766904076","-6.257803829055093"
"Zendesk International Ltd","53.33172658096112","-6.256474274438375","55 Charlemont Place","Dublin","Ireland","","Point","53.33172658096112","-6.256474274438375"
"iQ Content","53.34130249138193","-6.2620976484728565","34 -37 Clarendon St.","Dublin","Dublin City","Ireland","Point","53.34130249138193","-6.2620976484728565"
"Qualtrics","53.34059478003897","-6.262495871633291","1 Clarendon Row","Dublin","Dublin City","Ireland","Point","53.34059478003897","-6.262495871633291"
"Dropbox EMEA HQ","53.33389201362022","-6.261278111653285","Dublin","Dublin City","Ireland","","Point","53.33389201362022","-6.261278111653285"
"Slack EMEA HQ","53.334000652337835","-6.261790828891876","One Park Place","Ireland","","","Point","53.334000652337835","-6.261790828891876"
"Fullstack HQ","53.341557440161665","-6.262956372778334","27 S William St","Dublin","Dublin City","Ireland","Point","53.341557440161665","-6.262956372778334"
"Wrike Ireland Ltd","53.335883108364115","-6.262764930725098","80 Harcourt Street","Dublin","Dublin City","Ireland","Point","53.335883108364115","-6.262764930725098"
"mods and rockers","53.34478308508418","-6.263848692691444","25 Temple Lane South (Dame Street)","Dublin","Dublin City","Ireland","Point","53.34478308508418","-6.263848692691444"
"Just-Eat.ie HQ","53.350167370168506","-6.260343938878758","173 Ivy Exchange (Granby Place)","Dublin","Dublin City","Ireland","Point","53.350167370168506","-6.260343938878758"
"Squarespace Dublin","53.341372215717136","-6.267592369392149","Le Pole House (Shii Street Great)","Dublin","Dublin City","Ireland","Point","53.341372215717136","-6.267592369392149"
"Version 1","53.34731576023995","-6.265530693493079","Millennium House (Millennium Walkway)","Dublin","Dublin City","Ireland","Point","53.34731576023995","-6.265530693493079"
"Joe.ie & Her.ie Offices","53.336726990397814","-6.274424861406845","Ireland","","","","Point","53.336726990397814","-6.274424861406845"
"productful.com","53.339123749425454","-6.280141597431135","26 Brabazon Hall (Cork Street)","Dublin","Dublin City","Ireland","Point","53.339123749425454","-6.280141597431135"
