"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","formattedAddress__005","location__type","location__coordinates__001","location__coordinates__002"
"Google Manchester","53.477224095706546","-2.2435500746264254","Peter House, Oxford St, Manchester, Greater Manchester M1 5AN","Manchester","Greater Manchester","M1 5AN","United Kingdom","Point","53.477224095706546","-2.2435500746264254"
"Apple Manchester Arndale","53.483681","-2.240875","New Cannon Street Mall","Manchester","M4 3AJ","United Kingdom","","Point","53.483681","-2.240875"
"FirstFound","53.4755898737178","-2.24140190362627","79 Oxford St","Manchester","Greater Manchester","M1 6FQ","United Kingdom","Point","53.4755898737178","-2.24140190362627"
"HAVAS Lynx","53.47646857113034","-2.2396015065697292","52 Princess Street","Manchester","United Kingdom","","","Point","53.47646857113034","-2.2396015065697292"
"Outsourcery","53.480038","-2.2489336781572717","Spinningfields","Manchester","United Kingdom","","","Point","53.480038","-2.2489336781572717"
"Web Services CT","53.4798282","-2.2410456","Central Manchester","Manchester","06 042","United Kingdom","","Point","53.4798282","-2.2410456"
"Influx Digital","53.4807804947682","-2.24372178709263","82 King Street","Manchester","M2 4WQ","United Kingdom","","Point","53.4807804947682","-2.24372178709263"
"Supremo","53.4724369019413","-2.24041980690144","8 Lower Ormond St (8 Lower Ormond Street)","Manchester","M1 5QF","United Kingdom","","Point","53.4724369019413","-2.24041980690144"
"Dreamr","53.47882668029082","-2.2518324851989746","No1. Spinningfields","Lancashire","M3 3JE","United Kingdom","","Point","53.47882668029082","-2.2518324851989746"
"Cloud Technology Solutions","53.481527425153615","-2.240513563156128","Lowry House (17 Marble Street)","Manchester","M2 3AW","United Kingdom","","Point","53.481527425153615","-2.240513563156128"
"Docnet","53.48297171225531","-2.246294810959314","Speakers House, (39 Deansgate)","Manchester","Greater Manchester","M3 2BA","United Kingdom","Point","53.48297171225531","-2.246294810959314"
"Webantic","53.481297","-2.234084","76 Quay Street","Manchester","M3 4PR","United Kingdom","","Point","53.481297","-2.234084"
"Reason Digital","53.48135803179811","-2.2337539359732492","26 Lever Street (Stevenson Square)","Manchester","Greater Manchester","M1 1DW","United Kingdom","Point","53.48135803179811","-2.2337539359732492"
"FiaFo","53.48201691269366","-2.234451730084774","22 Lever Street (Level 4, Suite B)","Manchester","Greater Manchester","M1 1EA","United Kingdom","Point","53.48201691269366","-2.234451730084774"
"Think Rise Manchester","53.47782178570706","-2.249597175716994","231 Deansgate","Manchester","Greater Manchester","United Kingdom","","Point","53.47782178570706","-2.249597175716994"
"Cahoona HQ","53.482574476205095","-2.2349023818969727","3rd Floor North Square (11-13 Spear Street)","Manchester","Greater Manchester","M1 1JU","United Kingdom","Point","53.482574476205095","-2.2349023818969727"
"Net Sixty Six","53.48507404","-2.24251977","1 Fennel Street","Manchester","M4 3DU","United Kingdom","","Point","53.48507404","-2.24251977"
"Co-op Digital","53.48594569358629","-2.2398304450273923","United Kingdom","","","","","Point","53.48594569358629","-2.2398304450273923"
"Cuckoo Design","53.483357","-2.258055","247 Chapel Street","Salford","M3 5EP","United Kingdom","","Point","53.483357","-2.258055"
"PushON Ltd","53.47270307826669","-2.2617459297180176","111-112 Timber Wharf (Worsley Street)","Manchester","Greater Manchester","M15 4NX","United Kingdom","Point","53.47270307826669","-2.2617459297180176"
"Ghost Horses Website Design","53.48738164109159","-2.24618911743164","The Sorting Office (7 Mirabel Street)","Manchester","Greater Manchester","M3 1NJ","United Kingdom","Point","53.48738164109159","-2.24618911743164"
"Telecity Manchester 2","53.46443932881881","-2.2478431349057475","Reynolds House, 4 Archway","Manchester","Greater Manchester","M15 5RL","United Kingdom","Point","53.46443932881881","-2.2478431349057475"
"The LateRooms Group HQ","53.489217657909705","-2.241421968796844","The Peninsula Building (Cheethamhill Road)","Manchester","M4 4EW","United Kingdom","","Point","53.489217657909705","-2.241421968796844"
"Telecity Williams House","53.4640621243198","-2.2364580631256104","Unit 3 Williams House, Lloyd Street North","Salford","M5 3EZ","United Kingdom","","Point","53.4640621243198","-2.2364580631256104"
"Greenheys Business Centre","53.463067963058656","-2.2383871067845478","Manchester Science Park (Pencroft Way)","Manchester","Greater Manchester","M15 6JJ","United Kingdom","Point","53.463067963058656","-2.2383871067845478"
"Attido Mobile","53.463123200761615","-2.2378742694854736","Pencroft Way","Manchester","m15 6jj","United Kingdom","","Point","53.463123200761615","-2.2378742694854736"
"Currys PC World Featuring Carphone Warehouse","53.48304659926624","-2.242011440068832","93 Halle Mall, Arndale Centre","Manchester","M4 2HU","United Kingdom","","Point","53.48304659926624","-2.242011440068832"
