"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","formattedAddress__005","location__type","location__coordinates__001","location__coordinates__002"
"Deansgate Railway Station (DGT)","53.47426876814008","-2.2508268669333464","Whitworth St West","Manchester","Greater Manchester","M31 1AA","United Kingdom","Point","53.47426876814008","-2.2508268669333464"
"Manchester Oxford Road Railway Station (MCO)","53.47376950420715","-2.242155075073242","Station App","Manchester","Greater Manchester","M1 6FU","United Kingdom","Point","53.47376950420715","-2.242155075073242"
"Manchester Piccadilly Railway Station (MAN)","53.477045197825205","-2.2307993361642997","Station App","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.477045197825205","-2.2307993361642997"
"Station Building","53.477097","-2.2574997","Liverpool Rd","Manchester","Greater Manchester","M3 4PU","United Kingdom","Point","53.477097","-2.2574997"
"Manchester Victoria Railway Station (MCV)","53.48738164109159","-2.2425413131713867","Todd St","Manchester","M3 1PB","United Kingdom","","Point","53.48738164109159","-2.2425413131713867"
"Manchester Oxford Road (MCO) to Liverpool Lime Street (LIV) Train","53.47418","-2.2420297","United Kingdom","","","","","Point","53.47418","-2.2420297"
"Platform 5","53.47426980922666","-2.242340664837955","Manchester Oxford Road Railway Station (MCO)","Manchester","Greater Manchester","M1 6FU","United Kingdom","Point","53.47426980922666","-2.242340664837955"
"Platform 4","53.47382076923744","-2.2423263533734907","Manchester Oxford Road Railway Station (MCO)","Manchester","Greater Manchester","M1 6FU","United Kingdom","Point","53.47382076923744","-2.2423263533734907"
"Platform 3","53.4738078184129","-2.242305278778076","Manchester Oxford Road Railway Station (MCO)","Manchester","Greater Manchester","M1 6FU","United Kingdom","Point","53.4738078184129","-2.242305278778076"
"Platform 1","53.47411025449267","-2.2492652391696666","Deansgate Railway Station (DGT)","United Kingdom","","","","Point","53.47411025449267","-2.2492652391696666"
"Platform 2","53.473695461273145","-2.2423423612492375","Manchester Oxford Road Railway Station (MCO)","Manchester","Greater Manchester","M1 6FU","United Kingdom","Point","53.473695461273145","-2.2423423612492375"
"Salford Central Railway Station (SFD)","53.482740469730345","-2.25582093000412","New Bailey St","Salford","M3 5ET","United Kingdom","","Point","53.482740469730345","-2.25582093000412"
"TPE Traincrew Messroom","53.47725147140008","-2.2308213170799416","8th Floor (Manchester Piccadilly Station)","Manchester","M60 7RA","United Kingdom","","Point","53.47725147140008","-2.2308213170799416"
"Manchester Piccadilly CrossCountry Messroom","53.47736152354628","-2.230558","United Kingdom","","","","","Point","53.47736152354628","-2.230558"
"Platform 2","53.47413734163268","-2.2509979323697533","United Kingdom","","","","","Point","53.47413734163268","-2.2509979323697533"
"Manchester Piccadilly (MAN) to Cleethorpes (CLE) Train","53.47699029890836","-2.2356135083476163","United Kingdom","","","","","Point","53.47699029890836","-2.2356135083476163"
"Manchester Piccadilly (MAN) to London Euston (EUS) Train","53.476943765111336","-2.2300467413234264","Manchester Piccadilly Railway Station (MAN)","Manchester","United Kingdom","","","Point","53.476943765111336","-2.2300467413234264"
"Platform 1","53.477403309638","-2.230558870144946","Manchester Piccadilly Railway Station (MAN) (London Rd.)","Manchester","M60 7RA","United Kingdom","","Point","53.477403309638","-2.230558870144946"
"Platform 9","53.477187424912074","-2.230564383984483","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.477187424912074","-2.230564383984483"
"Manchester Piccadilly (MAN) to Liverpool Lime Street (LIV) Train","53.473872476835155","-2.2569971462009026","Manchester Piccadilly Railway Station (MAN)","Manchester","United Kingdom","","","Point","53.473872476835155","-2.2569971462009026"
"Platform 13","53.47645563029114","-2.228087972083539","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.47645563029114","-2.228087972083539"
"Platform 2","53.47747662912011","-2.2307233335132564","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.47747662912011","-2.2307233335132564"
"Platform 14","53.476263386686284","-2.22931133238233","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.476263386686284","-2.22931133238233"
"Platform 10","53.47724430577963","-2.2306571995459943","Manchester Piccadilly Railway Station (MAN)","Manchester","M60 7RA","United Kingdom","","Point","53.47724430577963","-2.2306571995459943"
"Platform 4","53.477349777365156","-2.2305504539815066","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.477349777365156","-2.2305504539815066"
"Platform 5","53.47739504258424","-2.2306069031729607","Manchester Piccadilly Railway Station (MAN)","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.47739504258424","-2.2306069031729607"
"Manchester Piccadilly (MAN) to Edinburgh Waverley (EDB) Train","53.47730703668159","-2.2309327125549316","Manchester Piccadilly Railway Station (MAN)","Manchester","United Kingdom","","","Point","53.47730703668159","-2.2309327125549316"
"Manchester Piccadilly (MAN) to Manchester Airport (MIA) Train","53.47690452380692","-2.2304195081080502","Manchester Piccadilly Station (MAN)","Manchester","M60 7LP","United Kingdom","","Point","53.47690452380692","-2.2304195081080502"
"Manchester Piccadilly (MAN) to Buxton (BUX) Train","53.47689352647748","-2.230140365388054","Manchester Piccadilly Station (MAN)","Manchester","M60 7RA","United Kingdom","","Point","53.47689352647748","-2.230140365388054"
