"name","latitud","longitud","formattedAddress__001","formattedAddress__002","formattedAddress__003","formattedAddress__004","formattedAddress__005","location__type","location__coordinates__001","location__coordinates__002"
"St Peter's Square Metrolink Station","53.47825152292783","-2.2431735157509998","St Peter's Sq","Manchester","Greater Manchester","M2 5PD","United Kingdom","Point","53.47825152292783","-2.2431735157509998"
"Deansgate-Castlefield Metrolink Station","53.474794724029714","-2.2505463298633837","Deansgate Locks (Whitworth St W)","Manchester","Greater Manchester","M3 4QL","United Kingdom","Point","53.474794724029714","-2.2505463298633837"
"Piccadilly Gardens Metrolink Station","53.48006534112137","-2.2365546226501465","Piccadilly Gardens (Portland St.)","Manchester","Greater Manchester","M1 1RG","United Kingdom","Point","53.48006534112137","-2.2365546226501465"
"Market Street Metrolink Station","53.482042296692335","-2.2389295927129322","Market St.","Manchester","Greater Manchester","M1 1WA","United Kingdom","Point","53.482042296692335","-2.2389295927129322"
"Piccadilly Metrolink Station","53.47688226515209","-2.231104998328287","Manchester Piccadily Station","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.47688226515209","-2.231104998328287"
"Shudehill Metrolink Station","53.48488594531961","-2.2386509619825588","Shudehill (cnr. Dantzic St.)","Manchester","Greater Manchester","M4 2BS","United Kingdom","Point","53.48488594531961","-2.2386509619825588"
"Exchange Square Metrolink Station","53.48639958190955","-2.2419924070761064","Exchange Sq.","Manchester","United Kingdom","","","Point","53.48639958190955","-2.2419924070761064"
"INNSIDE Manchester","53.473525877806985","-2.2475722657346555","1 First Street","Manchester","Greater Manchester","M15 4RP","United Kingdom","Point","53.473525877806985","-2.2475722657346555"
"Manchester Victoria Metrolink Station","53.48763812917933","-2.241827674332703","Todd St","Manchester","Greater Manchester","M3 1PB","United Kingdom","Point","53.48763812917933","-2.241827674332703"
"DoubleTree by Hilton Hotel Manchester - Piccadilly","53.4786629774397","-2.2335599794664516","One Piccadilly Place, 1 Auburn St","Manchester","M1 3DG","United Kingdom","","Point","53.4786629774397","-2.2335599794664516"
"Cornbrook Metrolink Station","53.47006749288128","-2.2674547504853635","Cornbrook Ave","Manchester","Greater Manchester","M15 4WD","United Kingdom","Point","53.47006749288128","-2.2674547504853635"
"New Islington Metrolink Station","53.48094773532845","-2.2199153326413454","Pollard St","Manchester","M4 7AW","United Kingdom","","Point","53.48094773532845","-2.2199153326413454"
"The Works Apartment Hotel","53.484666185173104","-2.24051660316646","38 Withy Grove","Manchester","Greater Manchester","M4 2BJ","United Kingdom","Point","53.484666185173104","-2.24051660316646"
"The Light ApartHotel","53.4825545535397","-2.2379120985750465","20 Church Street","Manchester","M4 1PN","United Kingdom","","Point","53.4825545535397","-2.2379120985750465"
"Shudehill Interchange","53.48528829292691","-2.238369028881238","Shudehill","Manchester","M4 2BS","United Kingdom","","Point","53.48528829292691","-2.238369028881238"
"Manchester Piccadilly Railway Station (MAN)","53.477045197825205","-2.2307993361642997","Station App","Manchester","Greater Manchester","M60 7RA","United Kingdom","Point","53.477045197825205","-2.2307993361642997"
"The Ainscow","53.48257338805531","-2.25804861148946","United Kingdom","","","","","Point","53.48257338805531","-2.25804861148946"
"Malmaison Manchester","53.479408","-2.233361","1-3 Piccadilly","Manchester","Greater Manchester","M1 1LZ","United Kingdom","Point","53.479408","-2.233361"
"Manchester Victoria Railway Station (MCV)","53.48738164109159","-2.2425413131713867","Todd St","Manchester","M3 1PB","United Kingdom","","Point","53.48738164109159","-2.2425413131713867"
